event_dt,event_flg,event_name,event_f_cnt,event_m_cnt,event_link
2022-12-11,USA,Ironman Florida 70.3 2022,383,1105,/rus/result/ironman/florida/half/2022
2022-12-10,NZL,Ironman New Zealand 2022,93,318,/rus/result/ironman/new-zealand/full/2022
2022-12-10,NZL,Ironman New Zealand 70.3 2022,275,532,/rus/result/ironman/new-zealand/half/2022
2022-12-09,BRN,Ironman Bahrain 70.3 2022,107,576,/rus/result/ironman/bahrain/half/2022
2022-12-04,ARG,Ironman Argentina 2022,21,290,/rus/result/ironman/argentina/full/2022
2022-12-04,COL,Ironman Cartagena 70.3 2022,407,1232,/rus/result/ironman/cartagena/half/2022
2022-12-04,USA,Ironman Indian Wells La Quinta 70.3 2022,392,1167,/rus/result/ironman/indian-wells-la-quinta/half/2022
2022-12-04,ARG,Ironman Mar del Plata 70.3 2022,52,270,/rus/result/ironman/mar-del-plata/half/2022
2022-12-04,AUS,Ironman Western Australia 2022,258,819,/rus/result/ironman/western-australia/full/2022
2022-12-04,AUS,Ironman Western Australia 70.3 2022,280,619,/rus/result/ironman/western-australia/half/2022
2022-11-25,ISR,Ironman Israel 2022,103,616,/rus/result/ironman/israel/full/2022
2022-11-25,ISR,"Ironman Tiberias, Sea of Galilee 70.3 2022",198,768,"/rus/result/ironman/tiberias,-sea-of-galilee/half/2022"
2022-11-20,USA,Ironman Arizona 2022,543,1479,/rus/result/ironman/arizona/full/2022
2022-11-20,MEX,Ironman Cozumel 2022,276,909,/rus/result/ironman/cozumel/full/2022
2022-11-20,VIE,Ironman Phu Quoc 5150 2022,42,193,/rus/result/ironman/phu-quoc/olympic/2022
2022-11-20,THA,Laguna Phuket Triathlon Olympic 2022,75,370,/rus/result/nobrand/laguna-phuket-triathlon/olympic/2022
2022-11-18,EGY,Ironman Egypt 70.3 2022,49,209,/rus/result/ironman/egypt/half/2022
2022-11-13,IND,Ironman Goa 70.3 2022,64,617,/rus/result/ironman/goa/half/2022
2022-11-13,AUS,Ironman Melbourne 70.3 2022,271,967,/rus/result/ironman/melbourne/half/2022-11-13
2022-11-13,PHI,Ironman Puerto Princesa 70.3 2022,107,610,/rus/result/ironman/puerto-princesa/half/2022
2022-11-06,BRA,Ironman Brazil Fortaleza 70.3 2022,101,675,/rus/result/ironman/brazil-fortaleza/half/2022
2022-11-06,ARG,Ironman Buenos Aires Palermo 5150 2022,161,823,/rus/result/ironman/buenos-aires-palermo/olympic/2022
2022-11-06,MEX,Ironman Los Cabos 70.3 2022,231,705,/rus/result/ironman/los-cabos/half/2022
2022-11-06,RSA,Ironman Mossel Bay 70.3 2022,462,1219,/rus/result/ironman/mossel-bay/half/2022
2022-11-06,TUR,Ironman Turkey 70.3 2022,144,791,/rus/result/ironman/turkey/half/2022
2022-11-05,MAS,Ironman Langkawi 70.3 2022,71,380,/rus/result/ironman/langkawi/half/2022
2022-11-05,MAS,Ironman Malaysia 2022,46,381,/rus/result/ironman/malaysia/full/2022
2022-11-05,USA,Ironman Florida 2022,351,1365,/rus/result/ironman/florida/full/2022
2022-10-30,MAR,Ironman Tangier 70.3 2022,76,471,/rus/result/ironman/tangier/half/2022
2022-10-29,FRA,Ironman World Championship 70.3 2022,1,3551,/rus/result/ironman/world-championship/half/2022-10-29
2022-10-28,FRA,Ironman World Championship 70.3 2022,1831,1,/rus/result/ironman/world-championship/half/2022-10-28
2022-10-23,USA,Ironman California 2022,615,1993,/rus/result/ironman/california/full/2022
2022-10-23,ITA,Ironman Sardegna 70.3 2022,138,626,/rus/result/ironman/sardegna/half/2022
2022-10-23,PHI,Ironman Subic Bay Philippines 5150 2022,44,256,/rus/result/ironman/subic-bay-philippines/olympic/2022
